bird,abundance,img,ebird,wikipedia,allaboutbirds,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall
Sharp-shinned Hawk,RUU--FU,https://upload.wikimedia.org/wikipedia/commons/c/c9/Accipiter_striatus%2C_Canet_Road%2C_San_Luis_Obispo_1.jpg,https://ebird.org/species/shshaw/,https://en.wikipedia.org/wiki/Sharp-shinned_hawk,https://www.allaboutbirds.org/guide/Sharp-shinned_Hawk/overview,,,5 - rare,4 - uncommon,4 - uncommon,,,3 - fairly common,4 - uncommon
Cooper's Hawk,UFUUUFU,https://upload.wikimedia.org/wikipedia/commons/a/a9/Cooper%27s_Hawk_on_Seedskadee_National_Wildlife_Refuge_%2826108620533%29.jpg,https://ebird.org/species/coohaw,https://en.wikipedia.org/wiki/Cooper's_hawk,https://www.allaboutbirds.org/guide/coopers_hawk/overview,,,4 - uncommon,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon
Northern Goshawk,XR----R,https://upload.wikimedia.org/wikipedia/commons/8/81/Northern_Goshawk_ad_M2.jpg,https://ebird.org/species/norgos,https://en.wikipedia.org/wiki/Northern_goshawk,https://www.allaboutbirds.org/guide/Northern_Goshawk/overview,,,6 - extremely rare,5 - rare,,,,,5 - rare
Bald Eagle,URRRRRU,https://upload.wikimedia.org/wikipedia/commons/1/1a/About_to_Launch_%2826075320352%29.jpg,https://ebird.org/species/baleag,https://en.wikipedia.org/wiki/Bald_eagle,https://www.allaboutbirds.org/guide/bald_eagle/overview,,,4 - uncommon,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,4 - uncommon
Red-shouldered Hawk,XXR--RU,https://upload.wikimedia.org/wikipedia/commons/6/62/Red-shouldered_Hawk_%28Buteo_lineatus%29_-_Blue_Cypress_Lake%2C_Florida.jpg,https://ebird.org/species/reshaw,https://en.wikipedia.org/wiki/Red-shouldered_hawk,https://www.allaboutbirds.org/guide/Red-shouldered_Hawk/overview,,,6 - extremely rare,6 - extremely rare,5 - rare,,,5 - rare,4 - uncommon
Broad-winged Hawk,--URRFR,https://upload.wikimedia.org/wikipedia/commons/9/99/Julie_Waters_broad_winged_hawk.JPG,https://ebird.org/species/brwhaw,https://en.wikipedia.org/wiki/Broad-winged_hawk,https://www.allaboutbirds.org/guide/Broad-winged_Hawk/overview,,,,,4 - uncommon,5 - rare,5 - rare,3 - fairly common,5 - rare
Red-tailed Hawk,CCCFFCC,https://upload.wikimedia.org/wikipedia/commons/5/51/Buteo_jamaicensis_-John_Heinz_National_Wildlife_Refuge_at_Tinicum%2C_Pennsylvania%2C_USA-8.jpg,https://ebird.org/species/rethaw,https://en.wikipedia.org/wiki/Red-tailed_hawk,https://www.allaboutbirds.org/guide/Red-tailed_Hawk/overview,,,2 - common,2 - common,2 - common,3 - fairly common,3 - fairly common,2 - common,2 - common
Rough-legged Hawk,RR----R,https://upload.wikimedia.org/wikipedia/commons/e/e4/Buteo_lagopus_29283.JPG,https://ebird.org/species/rolhaw,https://en.wikipedia.org/wiki/Rough-legged_buzzard,https://www.allaboutbirds.org/guide/Rough-legged_Hawk/overview,,,5 - rare,5 - rare,,,,,5 - rare
Eastern Screech-Owl,FFURRRU,https://upload.wikimedia.org/wikipedia/commons/3/3d/Eastern_Screech_Owl.jpg,https://ebird.org/species/easowl1/,https://en.wikipedia.org/wiki/Eastern_screech_owl,https://www.allaboutbirds.org/guide/Eastern_Screech-Owl/overview,,,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare,5 - rare,5 - rare,4 - uncommon
Great Horned Owl,FFFUUUF,https://upload.wikimedia.org/wikipedia/commons/2/23/Bubo_virginianus_06.jpg,https://ebird.org/species/grhowl,https://en.wikipedia.org/wiki/Great_horned_owl,https://www.allaboutbirds.org/guide/Great_Horned_Owl/overview,,,3 - fairly common,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common
Barred Owl,URR---R,https://upload.wikimedia.org/wikipedia/commons/3/3c/Strix-varia-005.jpg,https://ebird.org/species/brdowl/,https://en.wikipedia.org/wiki/Barred_owl,https://www.allaboutbirds.org/guide/Barred_Owl/overview,,,4 - uncommon,5 - rare,5 - rare,,,,5 - rare
Long-eared Owl,URX---R,https://upload.wikimedia.org/wikipedia/commons/e/ef/Asio_otus_1_%28Martin_Mecnarowski%29.jpg,https://ebird.org/species/loeowl,https://en.wikipedia.org/wiki/Long-eared_owl,https://www.allaboutbirds.org/guide/Long-eared_Owl/overview,,,4 - uncommon,5 - rare,6 - extremely rare,,,,5 - rare
Short-eared Owl,UXX---R,https://upload.wikimedia.org/wikipedia/commons/6/61/Short_eared_owl_kuwait_by_irvin_calicut_DSCN0576.jpg,https://ebird.org/species/sheowl,https://en.wikipedia.org/wiki/Short-eared_owl,https://www.allaboutbirds.org/guide/Short-eared_Owl/overview,,,4 - uncommon,6 - extremely rare,6 - extremely rare,,,,5 - rare
Northern Saw-whet Owl,RX----R,https://upload.wikimedia.org/wikipedia/commons/3/39/Aegolius_acadicus_-Fossil%2C_Oregon%2C_USA_-juvenile-8.jpg,https://ebird.org/species/nswowl,https://en.wikipedia.org/wiki/Northern_saw-whet_owl,https://www.allaboutbirds.org/guide/Northern_Saw-whet_Owl/overview,,,5 - rare,6 - extremely rare,,,,,5 - rare
Belted Kingfisher,RFFUUFU,https://upload.wikimedia.org/wikipedia/commons/8/8f/Belted_Kingfisher.jpg,https://ebird.org/species/belkin1,https://en.wikipedia.org/wiki/Belted_kingfisher,https://www.allaboutbirds.org/guide/Belted_Kingfisher/overview,,,5 - rare,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon
Yellow-bellied Sapsucker,XUU--UU,https://upload.wikimedia.org/wikipedia/commons/b/b3/Sphyrapicus_varius.jpg,https://ebird.org/species/yebsap,https://en.wikipedia.org/wiki/Yellow-bellied_sapsucker,https://www.allaboutbirds.org/guide/Yellow-bellied_Sapsucker/overview,,,6 - extremely rare,4 - uncommon,4 - uncommon,,,4 - uncommon,4 - uncommon
Red-headed Woodpecker,XRUUUUR,https://upload.wikimedia.org/wikipedia/commons/a/ac/Melanerpes_erythrocephalus_-tree_trunk-USA.jpg,https://ebird.org/species/rehwoo,https://en.wikipedia.org/wiki/Red-headed_woodpecker,https://www.allaboutbirds.org/guide/Red-headed_Woodpecker/overview,,,6 - extremely rare,5 - rare,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,5 - rare
Red-bellied Woodpecker,FFFFFFF,,https://ebird.org/species/rebwoo,https://en.wikipedia.org/wiki/Red-bellied_woodpecker,https://www.allaboutbirds.org/guide/Red-bellied_Woodpecker/overview,https://upload.wikimedia.org/wikipedia/commons/1/12/Red-bellied_Woodpecker-27527.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Red-bellied_Woodpecker_Female.jpg,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common
Downy Woodpecker,CCCCCCC,,https://ebird.org/species/dowwoo,https://en.wikipedia.org/wiki/Downy_woodpecker,https://www.allaboutbirds.org/guide/Downy_Woodpecker/overview,https://upload.wikimedia.org/wikipedia/commons/2/20/Downy_Woodpecker01.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/FemaleDownyWoodpecker.jpg,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common
Hairy Woodpecker,FUUUUUU,,https://ebird.org/species/haiwoo,https://en.wikipedia.org/wiki/Hairy_woodpecker,https://www.allaboutbirds.org/guide/Hairy_Woodpecker/overview,https://upload.wikimedia.org/wikipedia/commons/1/1f/Picoides-villosus-001.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/Hairy_Woodpecker_%28female%29.jpg,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon
Pileated Woodpecker,RUURRRR,https://upload.wikimedia.org/wikipedia/commons/1/12/PileatedWoodpeckerFeedingonTree%2C_crop.jpg,https://ebird.org/species/pilwoo,https://en.wikipedia.org/wiki/Pileated_woodpecker,https://www.allaboutbirds.org/guide/Pileated_Woodpecker/overview,,,5 - rare,4 - uncommon,4 - uncommon,5 - rare,5 - rare,5 - rare,5 - rare
Northern Flicker,RUCCCCF,,https://ebird.org/species/norfli,https://en.wikipedia.org/wiki/Northern_flicker,https://www.allaboutbirds.org/guide/Northern_Flicker/overview,https://upload.wikimedia.org/wikipedia/commons/0/02/NorthernFlicker-male.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Northern_Flicker.jpg,5 - rare,4 - uncommon,2 - common,2 - common,2 - common,2 - common,3 - fairly common
American Kestrel,FFFFFFF,,https://ebird.org/species/amekes,https://en.wikipedia.org/wiki/American_kestrel,https://www.allaboutbirds.org/guide/American_Kestrel/overview,https://upload.wikimedia.org/wikipedia/commons/7/73/AmericanKestrel02.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Female_American_Kestrel.jpg,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common
Merlin,XRX--RU,https://upload.wikimedia.org/wikipedia/commons/9/9e/Merlin_prey_fencepost_Cochrane_cropped.jpg,https://ebird.org/species/merlin,https://en.wikipedia.org/wiki/Merlin_(bird),https://www.allaboutbirds.org/guide/merlin/overview,,,6 - extremely rare,5 - rare,6 - extremely rare,,,5 - rare,4 - uncommon
Peregrine Falcon,XRRXXRU,https://upload.wikimedia.org/wikipedia/commons/9/9a/Falco_peregrinus_good_-_Christopher_Watson.jpg,https://ebird.org/species/perfal,https://en.wikipedia.org/wiki/Peregrine_falcon,https://www.allaboutbirds.org/guide/Peregrine_Falcon/overview,,,6 - extremely rare,5 - rare,5 - rare,6 - extremely rare,6 - extremely rare,5 - rare,4 - uncommon
Monk Parakeet,RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/5/5c/Monk_Parakeet_%28Myiopsitta_monachus%29_%2828420470712%29.jpg,https://ebird.org/species/monpar,https://en.wikipedia.org/wiki/Monk_parakeet,https://www.allaboutbirds.org/guide/Monk_Parakeet/overview,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare
Olive-sided Flycatcher,--U-XU-,https://upload.wikimedia.org/wikipedia/commons/8/86/Olive-sided_Flycatcher.jpg,https://ebird.org/species/olsfly,https://en.wikipedia.org/wiki/Olive-sided_flycatcher,https://www.allaboutbirds.org/guide/Olive-sided_Flycatcher/overview,,,,,4 - uncommon,,6 - extremely rare,4 - uncommon,
Eastern Wood-Pewee,--FFFF-,https://upload.wikimedia.org/wikipedia/commons/3/3b/Eastern_Peewee-Yucat%C3%A1n.jpg,https://ebird.org/species/eawpew,https://en.wikipedia.org/wiki/Eastern_wood_pewee,https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee/overview,,,,,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,
Yellow-bellied Flycatcher,--U--R-,https://upload.wikimedia.org/wikipedia/commons/b/bc/Yellow-bellied_Flycatcher_-_Empidonax_flaviventris.jpg,https://ebird.org/species/yebfly/,https://en.wikipedia.org/wiki/Yellow-bellied_flycatcher,https://www.allaboutbirds.org/guide/Yellow-bellied_Flycatcher/overview,,,,,4 - uncommon,,,5 - rare,
Acadian Flycatcher,--RRXX-,https://upload.wikimedia.org/wikipedia/commons/2/21/Acadian_Flycatcher.jpg,https://ebird.org/species/acafly,https://en.wikipedia.org/wiki/Acadian_flycatcher,https://www.allaboutbirds.org/guide/Acadian_Flycatcher/overview,,,,,5 - rare,5 - rare,6 - extremely rare,6 - extremely rare,
Alder Flycatcher,--UX---,https://upload.wikimedia.org/wikipedia/commons/0/00/Empidonax_alnorum_CT2.jpg,https://ebird.org/species/aldfly,https://en.wikipedia.org/wiki/Alder_flycatcher,https://www.allaboutbirds.org/guide/Alder_Flycatcher/overview,,,,,4 - uncommon,6 - extremely rare,,,
Willow Flycatcher,--FFUU-,https://upload.wikimedia.org/wikipedia/commons/0/00/Southwestern_Willow_Flycatcher.jpg,https://ebird.org/species/wilfly/,https://en.wikipedia.org/wiki/Willow_flycatcher,https://www.allaboutbirds.org/guide/Willow_Flycatcher/overview,,,,,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,
Least Flycatcher,--FX-U-,https://upload.wikimedia.org/wikipedia/commons/4/46/Empidonax-minimus-001.jpg,https://ebird.org/species/leafly,https://en.wikipedia.org/wiki/Least_flycatcher,https://www.allaboutbirds.org/guide/Least_Flycatcher/overview,,,,,3 - fairly common,6 - extremely rare,,4 - uncommon,
Eastern Phoebe,XCFUUFU,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sayornis_phoebe_-Owen_Conservation_Park%2C_Madison%2C_Wisconsin%2C_USA-8.jpg,https://ebird.org/species/easpho/,https://en.wikipedia.org/wiki/Eastern_phoebe,https://www.allaboutbirds.org/guide/Eastern_Phoebe/overview,,,6 - extremely rare,2 - common,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon
Great Crested Flycatcher,--CFFU-,https://upload.wikimedia.org/wikipedia/commons/0/02/Great_Crested_Flycatcher_RWD2.jpg,https://ebird.org/species/grcfly,https://en.wikipedia.org/wiki/Great_crested_flycatcher,https://www.allaboutbirds.org/guide/Great_Crested_Flycatcher/overview,,,,,2 - common,3 - fairly common,3 - fairly common,4 - uncommon,
